name;price;shipping
Pc Gamer 9ª Geração I5 9400f 8gb Ddr4 Ssd 240gb Geforce 2gb;3700.0;Free
Notebook Multilaser Trabalho Office 365 14 4gb 64gb Barato;1900.0;Free
Pc Gamer Intel/ Core I5/ 8gb/ 1tb/ Radeon Rx 550;3699.0;Free
Computador Office Intel Core I5 8gb Ddr3 Ssd 240gb | C/ Nfe;1939.0;Free
Cpu Mini Dell 3060m I7 8700t 16gb Ddr4 Ssd 240gb Win 10 Pro;4989.0;Free
Headset Logitech H151 preto;95.0;Free
Pc Completo Gamer I5 2400, Geforce 2gb! + Jogos! Promoção;3585.0;Free
Cpu Pc Gamer Intel Barato Core I7 - 16gb Ram Ssd - Fans Led;2799.0;Free
Notebook Legacy Cloud 2gb/64gb/win10home/cinza - Pc134;1799.0;Free
Cpu Gamer/ Core I5 3.1/ 8gb/ 1tb/geforce 2gb/ Wi-fi;2499.0;Free
Pc Computador Cpu Intel Core I3 + 500gb Hd, 4gb Memória Ram;1098.0;Free
Pc Gamer Completo I5 8gb Hd 500 Placa De Video Monitor;3489.0;Free
Micro Cpu Gamer Intel Core I5 3,2ghz/ 8gb / 500gb / Gab Novo;1839.0;Free
Pc Computador Cpu I5 16gb / Hd 1tb + Ssd 240gb / Fonte 500w;2430.0;Free
Headset over-ear gamer HyperX CloudX Stinger Core preto e verde;329.0;Free
Computador Dell I5 8gb Ssd 120gb Windows Pro Original;2399.0;Free
 Cpu Pc  Torre Core I5 3470 3.20ghz 8gb Ssd 240gb Com Nf;1765.0;Free
Notebook Multilaser Touch Quad Core 4gb 64gb Tela 11.6 Win10;2299.0;Free
Cpu Pc Gamer Barato Computador Ram 16gb Placa Video R5 2gb;2299.0;Free
 Cpu Pc  Torre Core I5 3470 3.20ghz 8gb Ssd 240gb Wi-fi;1735.0;Free
Computador Pc Completo I5 3° Geração 8gb Hd 500gb + Wi-fi;2899.0;Free
Headset gamer HyperX Cloud Stinger Core black;339.0;Free
Computador Fácil Intel Core I3 8gb Ddr3 Ssd 240gb;1459.0;Free
Desktop Intel I3-530 - 2.93 Ghz, 4gb, 500gb, Hdmi;1064.0;Free
Computador Completo I5 3º G 8gb Hd Ssd 240gb Monitor Hdmi;2589.0;Free
Notebook Intel Z8350 Win 10 Home Tela 14 2gb Ram 64gb Pc135;1499.0;Free
Cpu Gamer I5, 8gb, Sdd 120gb, Placa De Vídeo Gtx750ti  ;2375.0;Free
Pc Gamer Completo Hércules I3 3º Ger. Gt 730 8gb Hd 500gb;3899.0;Free
Computador Pc Completo Intel I3 8gb Hd 500gb Wi-fi;2599.0;Free
